Designator,Part Number,Qty,,Link,
"C1, C7, C11, C13, C15, C17, C20, C22",302010040,8,,CC0402KRX5R6BB105,1uF 0402
"C2, C3, C4, C5, C6, C10, C12, C14, C16, C18, C19, C21, C23",302010024,13,,CC0402KRX7R8BB104,0.1 uF 0402
"C8, C9",302010139,6,,CC0603KRX7R8BB105,1uF 0603
R2,301010039,1,,RC0402JR-072K2L,
D1,304090045,1,,19-217-BHC-ZL1M2RY-3T,
"D2, D3, D4",CDBU0520,3,,,
FPGA,ICE40UP5K-SG48I,1,,https://www.digikey.com/product-detail/en/lattice-semiconductor-corporation/ICE40UP5K-SG48I/220-2212-1-ND/9563352,
L1,HI0603P600R-10,1,,,
"L2, L3, L4",BLM18HE601SN1D,3,,,
MEM,W25Q32JVSSIQ,1,,,
OSC1,SIT8924BE-72-XXE-12.000000E,1,,,
R1,301010006,1,,,
"R3, R4, R5, R6, R7, R13",301010047,6,,,
"R8, R9, R10, R11, R12",AC0402JR-071RL,5,,,
RGB,CLMVC-FKA-CL1D1L71BB7C3C3,1,,,
SW1,311020518,1,,,
U1,FT232HL-REEL,1,,,
U2,TLV1117LV33DCYR,1,,,
U3,LP5907MFX-1.2/NOPB,1,,,
USB,320010000,1,,,
